id,key,value,type
28110976,ele,2,regular
28110976,name,New Orleans,regular
28110976,place,city,regular
28110976,ca,Nova Orleans,name
28110976,es,Nueva Orleans,name
28110976,fr,La Nouvelle-Orléans,name
28110976,kn,ಹೊಸ ಒರ್ಲೀನ್ಸ್,name
28110976,ru,Новый Орлеан,name
28110976,zh,新奥尔良,name
28110976,wikidata,Q34404,regular
28110976,wikipedia,en:New Orleans,regular
28110976,population,354850,regular
28110976,vi,Ngọc Lân,loc_name
28110976,country,United States,is_in
28110976,continent,North America,is_in
28110976,country_code,US,is_in
115488338,railway,level_crossing,regular
115491180,highway,traffic_signals,regular
115497112,railway,level_crossing,regular
115506022,highway,traffic_signals,regular
115535118,name,East Bridge Junction,regular
115535118,place,locality,regular
115537356,railway,level_crossing,regular
115539615,highway,turning_circle,regular
115550677,highway,traffic_signals,regular
115550691,highway,traffic_signals,regular
115559955,railway,level_crossing,regular
115569472,noexit,yes,regular
115574527,railway,level_crossing,regular
115574574,highway,turning_circle,regular
115576235,highway,turning_circle,regular
115589073,highway,traffic_signals,regular
115589125,highway,traffic_signals,regular
115589125,traffic_signals,signal,regular
115589212,highway,traffic_signals,regular
115589212,traffic_signals,signal,regular
115589318,highway,traffic_signals,regular
115589342,highway,traffic_signals,regular
115595322,railway,level_crossing,regular
115604948,railway,level_crossing,regular
115609161,highway,traffic_signals,regular
115609161,traffic_signals,signal,regular
115609189,highway,traffic_signals,regular
115609189,traffic_signals,signal,regular
115609250,highway,traffic_signals,regular
115609250,traffic_signals,signal,regular
115609296,highway,traffic_signals,regular
115609296,traffic_signals,signal,regular
115614299,highway,traffic_signals,regular
115615797,highway,turning_circle,regular
115616260,railway,level_crossing,regular
115616532,railway,level_crossing,regular
115617247,railway,level_crossing,regular
115619409,name,Southport Junction,regular
115619409,place,locality,regular
115624233,railway,level_crossing,regular
115634039,railway,level_crossing,regular
115634618,railway,level_crossing,regular
115636344,highway,motorway_junction,regular
115636344,ref,8,regular
115648209,railway,level_crossing,regular
115662008,barrier,cycle_barrier,regular
115734788,railway,level_crossing,regular
115811109,highway,turning_circle,regular
115886234,ref,242,regular
115886234,highway,motorway_junction,regular
115901018,highway,traffic_signals,regular
115905189,ref,1B,regular
115905189,highway,motorway_junction,regular
115911519,railway,level_crossing,regular
115914832,railway,level_crossing,regular
115931257,barrier,gate,regular
115938045,railway,level_crossing,regular
115942046,highway,traffic_signals,regular
115942046,traffic_signals,signal,regular
115942094,highway,traffic_signals,regular
115942094,crossing,traffic_signals,regular
115952490,railway,level_crossing,regular
115954238,ref,234A,regular
115954238,highway,motorway_junction,regular
115974878,highway,traffic_signals,regular
115974878,traffic_signals,signal,regular
115979806,highway,crossing,regular
115982489,highway,traffic_signals,regular
115990263,highway,traffic_signals,regular
115990383,highway,traffic_signals,regular
115990532,highway,traffic_signals,regular
115995356,highway,traffic_signals,regular
116001556,highway,traffic_signals,regular
116007104,highway,turning_circle,regular
116009021,highway,traffic_signals,regular
116009021,traffic_signals,signal,regular
116009121,highway,traffic_signals,regular
116009121,traffic_signals,signal,regular
116009319,highway,traffic_signals,regular
116009319,traffic_signals,signal,regular
116014143,railway,level_crossing,regular
116026791,ref,240B,regular
116026791,highway,motorway_junction,regular
116027729,ref,246A-B,regular
116027729,exit_to,I-510 south; LA 47; Chalmette; Little Woods,regular
116027729,highway,motorway_junction,regular
116029267,railway,level_crossing,regular
116032642,highway,turning_circle,regular
116037608,highway,traffic_signals,regular
116037608,crossing,traffic_signals,regular
116049913,highway,turning_circle,regular
116052558,highway,traffic_signals,regular
116052558,crossing,traffic_signals,regular
116058979,highway,traffic_signals,regular
116058979,traffic_signals,signal,regular
116063771,railway,level_crossing,regular
116069821,railway,level_crossing,regular
116073608,highway,traffic_signals,regular
116074340,highway,turning_circle,regular
116075086,highway,traffic_signals,regular
116075086,traffic_signals,signal,regular
116075487,highway,turning_circle,regular
116078575,highway,traffic_signals,regular
116078575,traffic_signals,signal,regular
116079360,highway,traffic_signals,regular
116079360,traffic_signals,signal,regular
116086406,highway,turning_circle,regular
116087696,highway,traffic_signals,regular
116087696,traffic_signals,signal,regular
116091218,highway,traffic_signals,regular
116093061,highway,turning_circle,regular
116096662,highway,turning_circle,regular
116098792,highway,turning_circle,regular
116099527,highway,turning_circle,regular
116100085,highway,turning_circle,regular
116100369,highway,traffic_signals,regular
116102693,highway,turning_circle,regular
116103230,highway,turning_circle,regular
116103266,highway,turning_circle,regular
116106333,railway,level_crossing,regular
116107746,highway,turning_circle,regular
116108460,highway,traffic_signals,regular
116108460,traffic_signals,signal,regular
116110643,highway,turning_circle,regular
123322457,railway,level_crossing,regular
123323857,railway,level_crossing,regular
123323897,railway,level_crossing,regular
123323937,railway,level_crossing,regular
123324593,railway,level_crossing,regular
123325149,railway,level_crossing,regular
123347264,railway,level_crossing,regular
123347291,railway,level_crossing,regular
123355460,railway,level_crossing,regular
123603158,railway,level_crossing,regular
123604970,railway,level_crossing,regular
123605775,railway,level_crossing,regular
123614157,railway,level_crossing,regular
123621043,source,Bing,regular
123621043,highway,traffic_signals,regular
123623291,highway,turning_circle,regular
123623358,highway,turning_circle,regular
123629284,highway,turning_circle,regular
123634841,railway,level_crossing,regular
123634909,railway,level_crossing,regular
123639475,name,Chalmette­Algiers Ferry,regular
123639475,amenity,ferry_terminal,regular
123642641,source,tiger_import_dch_v0.6_20070813,regular
123642641,railway,level_crossing,regular
123644899,power,tower,regular
123648351,railway,level_crossing,regular
123651367,railway,level_crossing,regular
123651367,source,tiger_import_dch_v0.6_20070813,regular
123653614,railway,level_crossing,regular
123660793,source,tiger_import_dch_v0.6_20070813,regular
123660793,railway,level_crossing,regular
123667359,railway,level_crossing,regular
123667741,source,tiger_import_dch_v0.6_20070813,regular
123669722,railway,level_crossing,regular
123670076,ref,220,regular
123670076,highway,motorway_junction,regular
123670076,right,"I-310 South: Boutte, Houma",exit_to
123670676,railway,level_crossing,regular
123673974,source,tiger_import_dch_v0.6_20070813,regular
123674914,source,tiger_import_dch_v0.6_20070813,regular
123677368,ref,6,regular
123677368,highway,motorway_junction,regular
123679320,railway,level_crossing,regular
123688481,highway,motorway_junction,regular
123688481,highway_1,traffic_signals,regular
123689744,railway,level_crossing,regular
123695445,railway,level_crossing,regular
123700838,highway,traffic_signals,regular
123700838,traffic_signals,signal,regular
123702392,source,tiger_import_dch_v0.6_20070813,regular
123702392,railway,level_crossing,regular
123711252,highway,traffic_signals,regular
123711252,traffic_signals,signal,regular
123725888,noref,yes,regular
123725888,highway,motorway_junction,regular
123730861,railway,level_crossing,regular
123735454,highway,turning_circle,regular
123739387,highway,turning_circle,regular
123740028,railway,level_crossing,regular
123741443,highway,stop,regular
123741967,railway,level_crossing,regular
123744785,railway,level_crossing,regular
123745929,railway,level_crossing,regular
123873647,highway,traffic_signals,regular
123873763,highway,turning_circle,regular
123874787,power,tower,regular
123875295,highway,turning_circle,regular
123877323,barrier,gate,regular
123887256,ref,65,regular
123887256,highway,motorway_junction,regular
123893491,highway,turning_circle,regular
123897061,highway,turning_circle,regular
123899691,barrier,gate,regular
123908974,highway,turning_circle,regular
123913402,power,tower,regular
123913402,design,h-frame,regular
123913453,power,tower,regular
123913453,design,h-frame,regular
123918432,ref,3,regular
123918432,highway,motorway_junction,regular
123920946,highway,turning_circle,regular
123936235,highway,turning_circle,regular
123938925,railway,level_crossing,regular
123943344,noexit,yes,regular
123952363,noexit,yes,regular
123956639,railway,level_crossing,regular
123956668,railway,level_crossing,regular
123974834,highway,turning_circle,regular
123976271,highway,turning_circle,regular
123983139,highway,turning_circle,regular
123985477,highway,turning_circle,regular
123986756,railway,level_crossing,regular
123990555,noexit,yes,regular
123991536,railway,level_crossing,regular
123993569,noexit,yes,regular
123995473,ref,1A,regular
123995473,highway,motorway_junction,regular
123995628,highway,turning_circle,regular
124001525,railway,level_crossing,regular
124005970,noexit,yes,regular
124011460,railway,level_crossing,regular
124018710,highway,turning_circle,regular
124019752,highway,turning_circle,regular
124028061,highway,turning_circle,regular
124033724,highway,turning_circle,regular
124035580,ref,57,regular
124035580,highway,motorway_junction,regular
124055398,noexit,yes,regular
124067662,highway,turning_circle,regular
124070115,highway,turning_circle,regular
124075801,highway,turning_circle,regular
124093550,highway,turning_circle,regular
124108492,highway,turning_circle,regular
124108892,highway,turning_circle,regular
124118583,highway,turning_circle,regular
124123029,highway,turning_circle,regular
124126608,noexit,yes,regular
124129687,highway,turning_circle,regular
124133952,highway,turning_circle,regular
124133981,highway,turning_circle,regular
124137883,highway,turning_circle,regular
124139771,highway,turning_loop,regular
124140760,highway,turning_circle,regular
124142110,highway,turning_circle,regular
124149047,highway,turning_loop,regular
124150356,highway,turning_loop,regular
124153138,highway,turning_circle,regular
124159784,noexit,yes,regular
124162755,highway,turning_circle,regular
124165768,highway,turning_circle,regular
124165972,highway,turning_circle,regular
124184335,highway,turning_circle,regular
124186129,highway,turning_loop,regular
124187985,highway,turning_circle,regular
124190283,highway,turning_circle,regular
124195048,noexit,yes,regular
124197376,highway,turning_circle,regular
124204187,highway,turning_circle,regular
124207325,highway,turning_circle,regular
124208770,noexit,yes,regular
124216181,highway,turning_circle,regular
125069694,railway,level_crossing,regular
125098575,power,tower,regular
125098575,design,monopolar,regular
125098575,source,Bing,regular
125098607,power,tower,regular
125098607,design,monopolar,regular
125128924,railway,level_crossing,regular
125132903,ref,20,regular
125132903,exit_to,DeLisle; Pass Christian,regular
125132903,highway,motorway_junction,regular
125142501,noexit,yes,regular
125178331,noexit,yes,regular
125181478,noref,yes,regular
125181478,highway,motorway_junction,regular
125186866,highway,turning_circle,regular
125195230,highway,turning_circle,regular
125223409,railway,level_crossing,regular
125235911,railway,level_crossing,regular
125250340,railway,level_crossing,regular
125264565,highway,turning_circle,regular
125288171,highway,turning_circle,regular
151328446,ele,3,regular
151328446,name,Rost,regular
151328446,is_in,"St. Charles,Louisiana,La.,LA,USA",regular
151328446,place,hamlet,regular
151328446,id,552945,gnis
151328446,Class,Populated Place,gnis
151328446,County,St. Charles,gnis
151328446,ST_num,22,gnis
151328446,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151328446,ST_alpha,LA,gnis
151328446,County_num,089,gnis
151337978,population,19134;2006,census
151337978,ele,13,regular
151337978,Class,Populated Place,gnis
151337978,County,Tangipahoa,gnis
151337978,County_num,105,gnis
151337978,id,554653,gnis
151337978,ST_alpha,LA,gnis
151337978,ST_num,22,gnis
151337978,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151337978,is_in,"Tangipahoa,Louisiana,La.,LA,USA",regular
151337978,name,Hammond,regular
151337978,place,town,regular
151337978,population,19134,regular
151337978,wikidata,Q1014071,regular
151337978,wikipedia,"en:Hammond, Louisiana",regular
151350347,ele,2,regular
151350347,name,Riverland Heights,regular
151350347,is_in,"St. John the Baptist,Louisiana,La.,LA,USA",regular
151350347,place,hamlet,regular
151350347,id,1628062,gnis
151350347,Class,Populated Place,gnis
151350347,County,St. John the Baptist,gnis
151350347,ST_num,22,gnis
151350347,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151350347,ST_alpha,LA,gnis
151350347,County_num,095,gnis
151368552,ele,-2,regular
151368552,name,Seabrook,regular
151368552,is_in,"Orleans,Louisiana,La.,LA,USA",regular
151368552,place,hamlet,regular
151368552,id,546744,gnis
151368552,Class,Populated Place,gnis
151368552,County,Orleans,gnis
151368552,ST_num,22,gnis
151368552,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151368552,ST_alpha,LA,gnis
151368552,County_num,071,gnis
151387388,ele,1,regular
151387388,name,Jean Lafitte,regular
151387388,is_in,"Jefferson,Louisiana,La.,LA,USA",regular
151387388,place,village,regular
151387388,id,1669529,gnis
151387388,Class,Populated Place,gnis
151387388,population,2195,regular
151387388,County,Jefferson,gnis
151387388,ST_num,22,gnis
151387388,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151387388,ST_alpha,LA,gnis
151387388,County_num,051,gnis
151387388,population,2195;2006,census
151408197,ele,1,regular
151408197,name,Raceland Junction,regular
151408197,is_in,"Lafourche,Louisiana,La.,LA,USA",regular
151408197,place,hamlet,regular
151408197,id,555750,gnis
151408197,Class,Populated Place,gnis
151408197,County,Lafourche,gnis
151408197,ST_num,22,gnis
151408197,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151408197,ST_alpha,LA,gnis
151408197,County_num,057,gnis
151418588,ele,1,regular
151418588,name,Harvey,regular
151418588,is_in,"Jefferson,Louisiana,La.,LA,USA",regular
151418588,place,village,regular
151418588,id,554675,gnis
151418588,Class,Populated Place,gnis
151418588,County,Jefferson,gnis
151418588,ST_num,22,gnis
151418588,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151418588,ST_alpha,LA,gnis
151418588,County_num,051,gnis
151440228,ele,11,regular
151440228,name,Oliver,regular
151440228,is_in,"Tangipahoa,Louisiana,La.,LA,USA",regular
151440228,place,hamlet,regular
151440228,id,549730,gnis
151440228,Class,Populated Place,gnis
151440228,County,Tangipahoa,gnis
151440228,ST_num,22,gnis
151440228,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151440228,ST_alpha,LA,gnis
151440228,County_num,105,gnis
151466970,ele,3,regular
151466970,name,Hope,regular
151466970,is_in,"St. John the Baptist,Louisiana,La.,LA,USA",regular
151466970,place,hamlet,regular
151466970,id,1629312,gnis
151466970,Class,Populated Place,gnis
151466970,County,St. John the Baptist,gnis
151466970,ST_num,22,gnis
151466970,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151466970,ST_alpha,LA,gnis
151466970,County_num,095,gnis
151503465,ele,4,regular
151503465,name,Tigerville,regular
